Rat,Day,VTE_Percentage,Performance_Percentage
BP06,Day12,0.0,78.94736842105263
BP06,Day15,1.2345679012345678,62.96296296296296
BP06,Day14,3.6585365853658534,86.58536585365853
BP06,Day22,2.941176470588235,86.76470588235294
BP06,Day7,8.333333333333332,83.33333333333334
BP06,Day9,1.8867924528301887,73.58490566037736
BP06,Day8,0.0,100.0
BP06,Day20,1.5873015873015872,80.95238095238095
BP06,Day16,1.3333333333333335,65.33333333333333
BP06,Day11,11.11111111111111,86.66666666666667
BP06,Day17,34.285714285714285,80.0
BP06,Day19,3.8461538461538463,83.33333333333334
BP08,Day31,19.11764705882353,75.0
BP08,Day37,2.564102564102564,88.46153846153845
BP08,Day30,16.666666666666664,58.333333333333336
BP08,Day4,12.82051282051282,88.46153846153845
BP08,Day3,6.8493150684931505,78.08219178082192
BP08,Day2,16.304347826086957,68.47826086956522
BP08,Day5,18.6046511627907,73.25581395348837
BP08,Day41,7.368421052631578,65.26315789473685
BP08,Day46,3.076923076923077,77.6923076923077
BP08,Day23,1.5151515151515151,83.33333333333334
BP08,Day24,3.1746031746031744,81.74603174603175
BP08,Day12,6.0344827586206895,80.17241379310344
BP08,Day15,2.9197080291970803,86.86131386861314
BP08,Day14,4.878048780487805,86.1788617886179
BP08,Day13,3.870967741935484,85.16129032258064
BP08,Day25,7.462686567164178,77.61194029850746
BP08,Day22,1.2987012987012987,77.27272727272727
BP08,Day50,2.0,94.0
BP08,Day32,5.88235294117647,76.47058823529412
BP08,Day33,6.25,70.3125
BP08,Day34,7.8125,85.9375
BP08,Day9,2.941176470588235,83.33333333333334
BP08,Day6,18.88888888888889,84.44444444444444
BP08,Day1,23.076923076923077,48.717948717948715
BP08,Day27,21.27659574468085,74.46808510638297
BP08,Day18,4.23728813559322,88.98305084745762
BP08,Day20,2.9629629629629632,77.03703703703704
BP08,Day16,5.3097345132743365,92.03539823008849
BP08,Day29,5.555555555555555,80.15873015873017
BP08,Day11,8.527131782945736,73.64341085271317
BP08,Day45,5.6000000000000005,81.6
BP08,Day42,4.504504504504505,82.88288288288288
BP08,Day10,10.091743119266056,80.73394495412845
BP08,Day17,2.8169014084507045,80.28169014084507
BP08,Day28,7.236842105263158,86.8421052631579
BP08,Day21,1.1363636363636365,81.81818181818183
BP08,Day26,2.684563758389262,87.24832214765101
BP08,Day19,2.857142857142857,87.61904761904762
BP08,Day44,2.0689655172413794,76.55172413793103
BP08,Day49,21.052631578947366,94.73684210526315
BP09,Day38,2.857142857142857,85.71428571428571
BP09,Day36,1.680672268907563,84.03361344537815
BP09,Day37,0.0,90.27777777777779
BP09,Day30,11.11111111111111,72.22222222222221
BP09,Day4,1.9417475728155338,100.0
BP09,Day23,26.666666666666668,73.33333333333333
BP09,Day24,16.666666666666664,58.333333333333336
BP09,Day12,33.33333333333333,74.60317460317461
BP09,Day25,14.285714285714285,80.95238095238095
BP09,Day35,0.9174311926605505,79.81651376146789
BP09,Day32,1.5384615384615385,96.92307692307692
BP09,Day33,4.3478260869565215,82.6086956521739
BP09,Day34,1.0204081632653061,92.85714285714286
BP09,Day27,4.166666666666666,83.33333333333334
BP09,Day18,1.4492753623188406,78.98550724637681
BP09,Day10,1.3333333333333335,81.33333333333333
BP09,Day17,4.0,82.66666666666667
BP09,Day28,4.761904761904762,76.19047619047619
BP09,Day26,0.0,85.71428571428571
BP09,Day19,6.349206349206349,69.84126984126983
BP09,Day22,16.666666666666664,66.66666666666666
TH605,Day4,4.651162790697675,88.37209302325581
TH605,Day3,28.985507246376812,82.6086956521739
TH605,Day2,28.125,78.125
TH605,Day5,10.869565217391305,86.95652173913044
TH605,Day23,1.098901098901099,90.10989010989012
TH605,Day24,2.2222222222222223,86.66666666666667
TH605,Day12,5.797101449275362,65.21739130434783
TH605,Day15,0.0,65.21739130434783
TH605,Day14,3.614457831325301,75.90361445783132
TH605,Day13,3.896103896103896,66.23376623376623
TH605,Day22,3.4482758620689653,72.41379310344827
TH605,Day7,8.791208791208792,79.12087912087912
TH605,Day9,5.0,86.25
TH605,Day8,1.36986301369863,93.15068493150685
TH605,Day6,10.638297872340425,70.2127659574468
TH605,Day1,36.11111111111111,72.22222222222221
TH605,Day27,3.896103896103896,80.51948051948052
TH605,Day20,2.272727272727273,87.5
TH605,Day16,11.711711711711711,75.67567567567568
TH605,Day29,0.0,95.71428571428572
TH605,Day11,3.4482758620689653,84.48275862068965
TH605,Day10,3.3333333333333335,72.5
TH605,Day17,2.3529411764705883,85.88235294117646
TH605,Day21,1.0416666666666665,77.08333333333334
TH605,Day26,3.0303030303030303,72.72727272727273
TH605,Day19,6.097560975609756,87.8048780487805
BP22,Day38,2.5,77.5
BP22,Day36,11.11111111111111,77.77777777777779
BP22,Day37,0.0,94.44444444444444
BP22,Day30,2.941176470588235,88.23529411764706
BP22,Day39,0.0,86.04651162790698
BP22,Day4,11.538461538461538,88.46153846153845
BP22,Day3,22.22222222222222,61.111111111111114
BP22,Day2,46.42857142857143,75.0
BP22,Day5,9.523809523809524,95.23809523809523
BP22,Day41,2.941176470588235,70.58823529411765
BP22,Day46,0.0,66.66666666666666
BP22,Day48,0.0,100.0
BP22,Day23,0.0,70.2127659574468
BP22,Day24,5.88235294117647,88.23529411764706
BP22,Day12,2.5,75.0
BP22,Day15,2.7027027027027026,54.054054054054056
BP22,Day49,0.0,92.6829268292683
BP22,Day40,5.263157894736842,92.10526315789474
BP22,Day14,5.714285714285714,80.0
BP22,Day13,4.0,82.0
BP22,Day25,0.0,91.07142857142857
BP22,Day22,9.30232558139535,83.72093023255815
BP22,Day50,1.7857142857142856,92.85714285714286
BP22,Day35,8.823529411764707,82.35294117647058
BP22,Day32,2.1739130434782608,78.26086956521739
BP22,Day33,2.564102564102564,69.23076923076923
BP22,Day34,6.0,88.0
BP22,Day7,7.2727272727272725,89.0909090909091
BP22,Day9,12.121212121212121,84.84848484848484
BP22,Day8,13.333333333333334,84.44444444444444
BP22,Day6,4.0,88.0
BP22,Day1,60.0,40.0
BP22,Day27,5.263157894736842,89.47368421052632
BP22,Day18,6.896551724137931,82.75862068965517
BP22,Day20,0.0,90.69767441860465
BP22,Day16,0.0,86.27450980392157
BP22,Day29,0.0,86.36363636363636
BP22,Day11,11.864406779661017,86.4406779661017
BP22,Day45,3.3333333333333335,50.0
BP22,Day42,6.25,79.16666666666666
BP22,Day10,3.8461538461538463,96.15384615384616
BP22,Day17,16.129032258064516,58.06451612903226
BP22,Day28,15.625,65.625
BP22,Day21,15.625,90.625
BP22,Day26,3.4482758620689653,91.37931034482759
BP22,Day19,4.6875,85.9375
BP22,Day43,2.564102564102564,84.61538461538461
BP22,Day44,0.0,66.66666666666666
BP13,Day30,3.4482758620689653,86.20689655172413
BP13,Day4,15.625,84.375
BP13,Day3,10.344827586206897,93.10344827586206
BP13,Day2,16.666666666666664,41.66666666666667
BP13,Day5,17.94871794871795,84.61538461538461
BP13,Day23,3.508771929824561,91.22807017543859
BP13,Day24,1.2658227848101267,87.34177215189874
BP13,Day12,6.666666666666667,92.0
BP13,Day15,13.924050632911392,73.41772151898735
BP13,Day14,5.0,100.0
BP13,Day13,5.47945205479452,95.8904109589041
BP13,Day25,7.317073170731707,78.04878048780488
BP13,Day22,7.8125,84.375
BP13,Day7,10.714285714285714,71.42857142857143
BP13,Day9,5.769230769230769,76.92307692307693
BP13,Day8,5.405405405405405,89.1891891891892
BP13,Day6,0.0,83.33333333333334
BP13,Day27,4.545454545454546,81.81818181818183
BP13,Day18,2.564102564102564,94.87179487179486
BP13,Day20,4.273504273504273,82.05128205128204
BP13,Day16,4.395604395604396,87.91208791208791
BP13,Day29,1.282051282051282,92.3076923076923
BP13,Day11,1.4285714285714286,91.42857142857143
BP13,Day10,10.0,90.0
BP13,Day17,1.3513513513513513,90.54054054054053
BP13,Day28,1.25,85.0
BP13,Day21,1.1764705882352942,85.88235294117646
BP13,Day26,1.2658227848101267,82.27848101265823
BP13,Day1,50.0,33.33333333333333
TH510,Day4,10.344827586206897,87.93103448275862
TH510,Day3,3.225806451612903,83.87096774193549
TH510,Day2,11.267605633802818,71.83098591549296
TH510,Day5,0.0,92.0
TH510,Day7,1.550387596899225,86.04651162790698
TH510,Day9,0.78125,95.3125
TH510,Day8,2.2058823529411766,88.97058823529412
TH510,Day6,2.0408163265306123,91.83673469387756
TH510,Day1,34.69387755102041,63.26530612244898
BP15,Day4,9.090909090909092,80.3030303030303
BP15,Day3,16.216216216216218,94.5945945945946
BP15,Day2,17.391304347826086,86.95652173913044
BP15,Day5,4.6875,78.125
BP15,Day23,5.154639175257731,83.50515463917526
BP15,Day24,1.2048192771084338,86.74698795180723
BP15,Day14,8.045977011494253,79.3103448275862
BP15,Day13,1.3513513513513513,91.8918918918919
BP15,Day25,1.3888888888888888,93.05555555555556
BP15,Day22,5.128205128205128,88.46153846153845
BP15,Day7,2.898550724637681,89.85507246376811
BP15,Day9,14.492753623188406,79.71014492753623
