,rat,day,total,likelihood,start,DBSCAN,jumps
0,BP22,Day38,3533,3529,0,4,4507
1,BP22,Day31,6234,6231,0,3,25373
2,BP22,Day36,4128,4128,0,0,0
3,BP22,Day37,2270,2261,0,9,0
4,BP22,Day30,3651,3649,0,2,0
5,BP22,Day39,2774,2774,0,0,0
6,BP22,Day4,2400,2390,0,10,1711
7,BP22,Day3,5948,5947,0,1,0
8,BP22,Day2,5727,5717,0,10,0
9,BP22,Day5,2736,2716,0,20,29
10,BP22,Day41,4101,4101,0,0,0
11,BP22,Day46,4112,4099,0,13,568
12,BP22,Day48,2617,2610,0,7,0
13,BP22,Day23,8539,8539,0,0,1
14,BP22,Day24,2179,2165,0,14,166
15,BP22,Day12,4355,4355,0,0,605
16,BP22,Day15,4103,4097,0,6,0
17,BP22,Day49,2194,2193,0,1,713
18,BP22,Day47,905,896,0,9,0
19,BP22,Day40,3810,3787,0,23,0
20,BP22,Day14,3179,3176,0,3,0
21,BP22,Day13,4239,4235,0,4,0
22,BP22,Day25,2935,2917,0,18,0
23,BP22,Day22,4460,4460,0,0,0
24,BP22,Day50,5241,5237,0,4,1
25,BP22,Day35,4066,4061,0,5,0
26,BP22,Day32,3925,3901,0,24,0
27,BP22,Day33,4966,4964,0,2,379
28,BP22,Day34,3944,3940,0,4,0
29,BP22,Day7,3765,3758,0,7,0
30,BP22,Day9,4492,4475,6,17,0
31,BP22,Day8,3750,3750,0,0,450
32,BP22,Day6,3110,3110,0,0,0
33,BP22,Day1,6401,6401,0,0,0
34,BP22,Day27,2415,2406,0,9,11570
35,BP22,Day18,3565,3559,0,6,0
36,BP22,Day20,2579,2578,0,1,0
37,BP22,Day16,3961,3961,0,0,0
38,BP22,Day29,2237,2219,0,18,6592
39,BP22,Day11,3670,3670,0,0,2035
40,BP22,Day45,6866,6866,423,0,0
41,BP22,Day42,2987,2953,0,34,600
42,BP22,Day10,4480,4477,0,3,1508
43,BP22,Day17,14305,14279,0,26,0
44,BP22,Day28,3317,3317,0,0,10411
45,BP22,Day21,4303,4302,0,1,0
46,BP22,Day26,3461,3459,0,2,0
47,BP22,Day19,2380,2372,105,8,0
48,BP22,Day43,2959,2958,0,1,0
49,BP22,Day44,4505,4505,0,0,0
