,rat,day,total,likelihood,start,DBSCAN,jumps
0,TH608,Day31,3466,3262,269.0,0,427
1,TH608,Day30,2112,2112,,0,0
2,TH608,Day4,3153,2696,539.0,0,0
3,TH608,Day3,2330,2314,,16,172
4,TH608,Day2,3498,2896,746.0,0,0
5,TH608,Day5,2607,2607,,0,1
6,TH608,Day23,3628,3628,,0,6603
7,TH608,Day24,2872,2670,265.0,0,6620
8,TH608,Day12,1815,1565,327.0,0,329
9,TH608,Day15,2956,2728,293.0,0,2161
10,TH608,Day14,1911,1509,454.0,0,0
11,TH608,Day13,1868,1702,240.0,0,0
12,TH608,Day25,4435,4225,234.0,0,1075
13,TH608,Day22,3811,3811,,0,270
14,TH608,Day32,2488,2231,311.0,0,1210
15,TH608,Day33,3086,2190,924.0,0,2216
16,TH608,Day7,2567,2250,382.0,0,0
17,TH608,Day9,2207,1985,317.0,0,0
18,TH608,Day8,1692,1530,257.0,0,0
19,TH608,Day6,2125,1816,372.0,0,0
20,TH608,Day1,5067,3775,2372.0,0,0
21,TH608,Day27,2830,2610,223.0,0,1992
22,TH608,Day18,3663,3177,512.0,0,10892
23,TH608,Day20,3950,3537,422.0,0,1310
24,TH608,Day16,2716,2541,293.0,0,0
25,TH608,Day29,3365,2828,592.0,0,0
26,TH608,Day11,1538,1328,251.0,0,0
27,TH608,Day10,2114,1861,349.0,0,0
28,TH608,Day17,3422,3264,218.0,0,0
29,TH608,Day28,4127,3989,226.0,0,0
30,TH608,Day21,4455,4232,236.0,0,1097
31,TH608,Day26,1970,1755,295.0,0,0
32,TH608,Day19,2528,2281,255.0,0,0
