,rat,day,trials_available,arm_added,days_since_new_arm
0,BP06,7,"{1, 2}",True,0
1,BP06,8,"{1, 2}",False,1
2,BP06,9,"{1, 2, 3}",True,0
3,BP06,10,"{1, 2, 3}",False,1
4,BP06,11,"{1, 2, 3, 4}",True,0
5,BP06,12,"{1, 2, 3, 4}",False,1
6,BP06,13,"{1, 2, 3, 4}",False,2
7,BP06,14,"{1, 2, 3, 4}",False,3
8,BP06,15,"{1, 2, 3, 4, 5}",True,0
9,BP06,16,"{1, 2, 3, 4, 5}",False,1
10,BP06,17,"{1, 2, 3, 4, 5}",False,2
11,BP06,18,"{1, 2, 3, 4, 5}",False,3
12,BP06,19,"{1, 2, 3, 4, 5}",False,4
13,BP06,20,"{1, 2, 3, 4, 5}",False,5
14,BP06,21,"{1, 2, 3, 4, 5}",False,6
15,BP06,22,"{1, 2, 3, 4, 5}",False,7
16,BP07,1,"{1, 2}",True,0
17,BP07,2,"{1, 2}",False,1
18,BP07,3,"{1, 2}",False,2
19,BP07,4,"{1, 2}",False,3
20,BP07,5,"{1, 2, 3}",True,0
21,BP07,6,"{1, 2, 3}",False,1
22,BP07,7,"{1, 2, 3}",False,2
23,BP07,8,"{1, 2, 3}",False,3
24,BP07,9,"{1, 2, 3}",False,4
25,BP07,10,"{1, 2, 3}",False,5
26,BP07,11,"{1, 2, 3}",False,6
27,BP07,12,"{1, 2, 3, 4}",True,0
28,BP07,13,"{1, 2, 3, 4}",False,1
29,BP07,14,"{1, 2, 3, 4}",False,2
30,BP07,15,"{1, 2, 3, 4, 5}",True,0
31,BP07,16,"{1, 2, 3, 4, 5}",False,1
32,BP07,17,"{1, 2, 3, 4, 5}",False,2
33,BP07,18,"{1, 2, 3, 4, 5}",False,3
34,BP07,19,"{1, 2, 3, 4, 5}",False,4
35,BP07,20,"{1, 2, 3, 4, 5}",False,5
36,BP07,21,"{1, 2, 3, 4, 5}",False,6
37,BP07,22,"{1, 2, 3, 4, 5}",False,7
38,BP07,23,"{1, 2, 3, 4, 5}",False,8
39,BP07,24,"{1, 2, 3, 4, 5}",False,9
40,BP07,25,"{1, 2, 3, 4, 5}",False,10
41,BP07,26,"{1, 2, 3, 4, 5}",False,11
42,BP07,27,"{1, 2, 3, 4, 5}",False,12
43,BP07,28,"{1, 2, 3, 4, 5}",False,13
44,BP08,1,"{1, 2}",True,0
45,BP08,2,"{1, 2}",False,1
