,rat,day,dlc_first_start,dlc_first_end,dlc_second_start,dlc_second_end,dlc_diff,ss_first_start,ss_first_end,ss_second_start,ss_second_end,ss_diff,ts_first_start,ts_first_end,ts_second_start,ts_second_end,ts_diff
0,BP06,Day18,0,4002,0,126564,-4002,1287.726,9.083,22.365,4392.776,13.282,1258.8227,1361.440967,20.55993333,4392.7842,-1340.881033
1,BP08,Day7,0,32087,0,34409,-32087,73.11,1169.422,25.097,1199.62,-1144.325,100663.537,2164265.437,167772.231,4177531.499,-1996493.206
2,BP08,Day8,0,57619,0,73032,-57619,93.5,2027.288,44.331,2547.497,-1982.957,2466250.899,3070238.449,3690987.622,1778394.85,620749.173
3,BP09,Day14,0,8048,0,69261,-8048,52.185,311.522,39.765,2413.032,-271.757,50331.774,3909092.544,3305111.632,3791660.241,-603980.912
4,BP13,Day19,0,37112,0,43266,-37112,764.377,1682.338,2114.273,3610.471,431.935,737.9883,2020.845933,2111.269,3611.334733,90.42306667
5,TH508,Day31,0,16109,0,30253,-16109,906.532,1335.955,1580.81,2553.774,244.855,893.6296667,1378.8155,1534.3229,2581.104367,155.5074
6,TH508,Day2,0,27697,0,42285,-27697,1144.902,2116.552,55.341,1520.364,-2061.211,1127.217833,2089.148567,49.48026667,1522.9429,-2039.6683
7,TH508,Day22,0,13992,0,81089,-13992,1209.111,1665.107,2090.255,4878.306,425.148,1195.396,1680.054267,2077.1025,4880.966633,397.0482333
8,TH508,Day28,0,17244,0,49927,-17244,1410.344,2008.957,177.346,1884.307,-1831.611,1396.173133,1993.042833,161.7269333,1887.1118,-1831.3159
9,TH405,Day30,0,35222,0,33678,-35222,931.888,2116.11,3703.329,4833.253,1587.219,901.1265333,2118.473933,3686.3297,4850.9576,1567.855767
10,TH405,Day3,0,84132,0,7563,-84132,789.119,3492.711,4627.372,4864.701,1134.661,770.1003,3595.464833,4602.694133,4865.172733,1007.2293
11,TH405,Day12,0,44679,0,32356,-44679,64.216,1476.596,75.123,1155.718,-1401.473,32.90776667,0,50.50126667,1169.985567,50.50126667
12,TH405,Day16,0,45334,0,29097,-45334,1423.841,2976.525,4896.779,5880.089,1920.254,1410.346667,2976.571467,4872.473533,5880.128533,1895.902067
13,TH405,Day10,0,62750,0,38498,-62750,2307.909,4431.979,5981.796,7290.014,1549.817,2287.0748,4454.971233,5962.955233,7293.4503,1507.984
14,BP10,Day2,0,54785,0,25350,-54785,61.962,1932.215,38.209,904.698,-1894.006,3271557.28,905977.216,1728053.359,3506441.678,822076.143
15,BP10,Day15,0,34754,0,71736,-34754,61.989,1244.366,23.372,2497.272,-1220.994,2852126.888,3389002.492,2885681.237,3472893.477,-503321.255
16,BP10,Day16,0,44594,0,51541,-44594,92.42,1601.841,23.62,1802.865,-1578.221,4177527.015,939530.353,1979711.579,3925875.591,1040181.226
17,BP11,Day36,0,37434,0,31673,-37434,73.185,1266.904,49.223,1111.212,-1217.681,2231369.849,1509954.614,1577058.374,3825209.593,67103.76
0,BP08,Day36,,,,,,82.204,679.94,21.846,2104.966,-658.094,4211081.536,4026534.516,3590324.284,805314.604,-436210.232
1,BP08,Day35,,,,,,57.44,1740.357,24.009,1128.28,-1716.348,3523215.519,3305118.36,771751.998,1711280.439,-2533366.362
2,BP07,Day12,,,,,,52.37,1932.462,45.165,1283.706,-1887.297,889192.576,7.706,1459617.874,1392513.972,1459610.168
3,BP07,Day9,,,,,,72.245,627.452,31.729,1882.462,-595.723,3774873.733,4160752.018,738197.615,1761615.038,-3422554.403
4,BP14,Day9,,,,,,42.251,595.038,41.635,1636.058,-553.403,2566914.15,1375734.036,1224736.831,1577064.949,-150997.205
5,BP14,Day11,,,,,,56.196,557.025,48.476,1174.56,-508.549,637534.314,2885683.35,16777.278,3305116.347,-2868906.072
6,BP14,Day19,,,,,,49.69,127.73,68.408,2120.746,-59.322,1342177.381,822084.083,771751.999,1325408.479,-50332.084
7,TH405,Day5,0,15792,0,69254,-15792,,,,,,,,,,
8,TH405,Day8,0,31787,0,20100,-31787,,,,,,1846.2642,2944.8347,13.56793333,708.8269333,-2931.266767
9,BP10,Day41,,,,,,75.624,1199.848,60.692,972.874,-1139.156,3556769.92,3707767.713,2717909.082,721424.094,-989858.631
10,BP10,Day33,,,,,,133.474,982.977,50.314,1338.371,-932.663,973078.905,3590328.063,2348810.436,4143977.621,-1241517.627
11,BP10,Day42,,,,,,72.754,763.901,51.671,2247.268,-712.23,2466250.878,1207962.537,1442840.646,2197824.08,234878.109
12,BP11,Day1,0,3312,0,43665,-3312,68.352,1510.7,68.352,1510.7,-1442.348,301990.264,2667578.172,1476395.098,50337.63,-1191183.074
0,BP08,Day35,0,49277,0,32188,-49277,,,,,,,,,,
1,BP10,Day41,,,,,,58.886,759.958,60.692,1199.848,-699.266,3556769.92,4429191.807,1728053.315,2617250.398,-2701138.492
2,BP10,Day33,0,25642,0,37588,-25642,,,,,,,,,,
3,BP10,Day42,0,21164,0,64532,-21164,,,,,,,,,,
