,rat,day,trial_type,days_since_new_arm,perf_change
0,BP06,7,2,0,0.25
1,BP06,8,2,1,0.17307692307692313
2,BP06,9,3,0,0.09090909090909094
3,BP06,10,3,1,0.2090909090909091
4,BP06,11,4,0,0.20588235294117652
5,BP06,12,4,1,0.09411764705882353
6,BP06,13,4,2,-0.19130434782608696
7,BP06,14,4,3,0.25494071146245056
8,BP06,15,5,0,-0.125
9,BP06,16,5,1,0.125
10,BP06,17,5,2,0.13157894736842102
11,BP06,18,5,3,0.19195046439628483
12,BP06,19,5,4,-0.07352941176470584
13,BP06,20,5,5,-0.05769230769230771
14,BP06,21,5,6,0.1648351648351648
15,BP06,22,5,7,-0.0714285714285714
16,BP07,1,2,0,0.0
17,BP07,2,2,1,0.1470588235294118
18,BP07,3,2,2,0.12217194570135748
19,BP07,4,2,3,0.19951923076923073
20,BP07,5,3,0,0.16666666666666663
21,BP07,6,3,1,0.02564102564102566
22,BP07,7,3,2,0.11850311850311857
23,BP07,8,3,3,-0.08353808353808356
24,BP07,9,3,4,0.19580419580419584
25,BP07,10,3,5,-0.06593406593406603
26,BP07,11,3,6,0.11654135338345872
27,BP07,12,4,0,0.24285714285714288
28,BP07,13,4,1,-0.03317972350230414
29,BP07,14,4,2,0.24684431977559607
30,BP07,15,5,0,0.3928571428571429
31,BP07,16,5,1,0.0357142857142857
32,BP07,17,5,2,-0.039682539682539764
33,BP07,18,5,3,0.04444444444444451
34,BP07,19,5,4,0.06666666666666665
35,BP07,20,5,5,0.0
36,BP07,21,5,6,0.0
37,BP07,22,5,7,-0.1578947368421053
38,BP07,23,5,8,0.1578947368421053
39,BP07,24,5,9,0.0
40,BP07,25,5,10,0.0
41,BP07,26,5,11,0.0
42,BP07,27,5,12,0.0
43,BP07,28,5,13,-0.5
44,BP08,1,2,0,-0.038461538461538436
45,BP08,2,2,1,0.12027972027972023
46,BP08,3,2,2,0.18741258741258748
47,BP08,4,2,3,0.03927986906710301
48,BP08,5,3,0,0.012195121951219523
49,BP08,6,3,1,0.2100271002710027
50,BP08,7,3,2,0.07777777777777783
51,BP08,8,4,0,0.03703703703703709
52,BP08,9,4,1,0.17264038231780165
53,BP08,10,4,2,0.05698924731182797
54,BP08,11,4,3,0.0
