,rat,day,trial_type,perf_change
0,BP06,7,1,94.5
1,BP06,8,1,5.0
2,BP06,9,1,-6.666666666666671
3,BP06,10,1,6.666666666666671
4,BP06,11,1,-9.090909090909093
5,BP06,12,1,9.090909090909093
6,BP06,13,1,-7.142857142857139
7,BP06,14,1,7.142857142857139
8,BP06,15,1,0.0
9,BP06,16,1,0.0
10,BP06,17,1,-7.692307692307693
11,BP06,19,1,1.025641025641022
12,BP06,20,1,6.666666666666671
13,BP06,21,1,0.0
14,BP06,22,1,0.0
15,BP06,7,2,74.5
16,BP06,8,2,17.307692307692307
17,BP06,9,2,-14.529914529914521
18,BP06,10,2,7.9365079365079225
19,BP06,11,2,14.285714285714292
20,BP06,12,2,-16.666666666666657
21,BP06,13,2,10.784313725490179
22,BP06,14,2,-15.856777493606131
23,BP06,15,2,8.40579710144928
24,BP06,16,2,4.999999999999986
25,BP06,17,2,-12.719298245614027
26,BP06,19,2,2.30263157894737
27,BP06,20,2,-1.25
28,BP06,21,2,3.333333333333343
29,BP06,22,2,8.974358974358964
30,BP06,9,3,58.59090909090909
31,BP06,10,3,20.909090909090907
32,BP06,11,3,20.0
33,BP06,12,3,-28.57142857142857
34,BP06,13,3,-9.523809523809526
35,BP06,14,3,19.913419913419922
36,BP06,15,3,-36.363636363636374
37,BP06,16,3,-7.359307359307358
38,BP06,17,3,36.904761904761905
39,BP06,19,3,25.0
40,BP06,20,3,-25.0
41,BP06,21,3,8.333333333333343
42,BP06,22,3,8.974358974358964
43,BP06,11,4,70.08823529411765
44,BP06,12,4,9.411764705882348
45,BP06,13,4,-19.13043478260869
46,BP06,14,4,25.494071146245048
47,BP06,15,4,-3.030303030303017
48,BP06,16,4,-6.410256410256409
49,BP06,17,4,3.076923076923066
50,BP06,18,4,-80.0
51,BP06,19,4,70.58823529411765
52,BP06,20,4,12.74509803921569
53,BP06,21,4,2.3809523809523654
54,BP06,22,4,-10.714285714285708
55,BP06,15,5,37.0
56,BP06,16,5,12.5
57,BP06,17,5,13.157894736842103
58,BP06,18,5,36.8421052631579
59,BP06,19,5,-25.0
60,BP06,20,5,-5.769230769230774
61,BP06,21,5,16.483516483516482
62,BP06,22,5,-7.142857142857139
63,BP07,1,1,82.83333333333334
64,BP07,2,1,9.523809523809518
65,BP07,3,1,7.142857142857139
66,BP07,4,1,0.0
67,BP07,5,1,-4.347826086956516
68,BP07,6,1,4.347826086956516
69,BP07,7,1,-3.3333333333333286
70,BP07,8,1,-22.38095238095238
71,BP07,9,1,25.714285714285708
72,BP07,10,1,-5.882352941176478
73,BP07,11,1,5.882352941176478
74,BP07,12,1,0.0
75,BP07,13,1,0.0
76,BP07,14,1,-29.032258064516128
77,BP07,16,1,29.032258064516128
78,BP07,17,1,0.0
79,BP07,18,1,0.0
80,BP07,19,1,0.0
81,BP07,20,1,0.0
82,BP07,21,1,-6.666666666666671
83,BP07,22,1,6.666666666666671
84,BP07,23,1,0.0
85,BP07,24,1,0.0
86,BP07,25,1,-5.555555555555557
87,BP07,26,1,5.555555555555557
88,BP07,27,1,0.0
89,BP07,28,1,0.0
90,BP07,1,2,49.5
91,BP07,2,2,14.705882352941174
92,BP07,3,2,12.21719457013576
93,BP07,4,2,19.951923076923066
94,BP07,5,2,-1.2228260869565162
95,BP07,6,2,-21.578099838969408
96,BP07,7,2,2.2417153996101433
