,rat,day,trial_type,total_trials,correct_trials
0,BP06,12,1,9.0,9.0
1,BP06,12,2,6.0,5.0
2,BP06,12,3,7.0,5.0
3,BP06,12,4,5.0,4.0
4,BP06,15,1,11.0,11.0
5,BP06,15,2,15.0,13.0
6,BP06,15,3,22.0,10.0
7,BP06,15,4,12.0,10.0
8,BP06,15,5,24.0,9.0
9,BP06,14,1,19.0,19.0
10,BP06,14,2,23.0,18.0
11,BP06,14,3,22.0,18.0
12,BP06,14,4,22.0,19.0
13,BP06,13,1,14.0,13.0
14,BP06,13,2,17.0,16.0
15,BP06,13,3,21.0,13.0
16,BP06,13,4,23.0,14.0
17,BP06,22,1,14.0,14.0
18,BP06,22,2,13.0,12.0
19,BP06,22,3,13.0,12.0
20,BP06,22,4,16.0,12.0
21,BP06,22,5,14.0,11.0
22,BP06,7,1,20.0,19.0
23,BP06,7,2,12.0,9.0
24,BP06,9,1,15.0,14.0
25,BP06,9,2,18.0,14.0
26,BP06,9,3,22.0,13.0
27,BP06,8,1,14.0,14.0
28,BP06,8,2,13.0,12.0
29,BP06,18,4,1.0,0.0
30,BP06,18,5,1.0,1.0
31,BP06,20,1,12.0,12.0
32,BP06,20,2,15.0,12.0
33,BP06,20,3,12.0,9.0
34,BP06,20,4,12.0,10.0
35,BP06,20,5,13.0,9.0
36,BP06,16,1,10.0,10.0
37,BP06,16,2,12.0,11.0
38,BP06,16,3,21.0,8.0
39,BP06,16,4,13.0,10.0
40,BP06,16,5,20.0,10.0
41,BP06,11,1,11.0,10.0
42,BP06,11,2,10.0,10.0
43,BP06,11,3,10.0,10.0
44,BP06,11,4,17.0,12.0
45,BP06,10,1,12.0,12.0
46,BP06,10,2,14.0,12.0
47,BP06,10,3,20.0,16.0
48,BP06,17,1,13.0,12.0
49,BP06,17,2,19.0,15.0
50,BP06,17,3,16.0,12.0
51,BP06,17,4,15.0,12.0
52,BP06,17,5,19.0,12.0
53,BP06,21,1,13.0,13.0
54,BP06,21,2,12.0,10.0
55,BP06,21,3,12.0,10.0
56,BP06,21,4,14.0,12.0
57,BP06,21,5,14.0,12.0
58,BP06,19,1,15.0,14.0
59,BP06,19,2,16.0,13.0
60,BP06,19,3,15.0,15.0
61,BP06,19,4,17.0,12.0
62,BP06,19,5,16.0,12.0
63,BP08,31,1,11.0,11.0
64,BP08,31,2,16.0,10.0
65,BP08,31,3,14.0,10.0
66,BP08,31,4,14.0,12.0
67,BP08,31,5,16.0,10.0
68,BP08,36,1,6.0,6.0
