,rat,day,trials_available,arm_added,days_since_new_arm
0,BP08,Day1,"{'2', '1'}",True,0
1,BP08,Day2,"{'2', '1'}",True,0
2,BP08,Day3,"{'2', '1'}",False,1
3,BP08,Day4,"{'2', '1'}",False,2
4,BP08,Day5,"{'3', '2', '1'}",True,0
5,BP08,Day6,"{'3', '2', '1'}",False,1
6,BP08,Day7,"{'3', '2', '1'}",False,2
7,BP08,Day8,"{'3', '2', '4', '1'}",False,3
8,BP08,Day9,"{'2', '3', '4', '1'}",False,4
9,BP08,Day10,"{'3', '2', '4', '1'}",False,5
10,BP08,Day11,"{'3', '2', '4', '1'}",False,6
11,BP08,Day12,"{'2', '3', '4', '1'}",False,7
12,BP08,Day13,"{'3', '2', '4', '1'}",False,8
13,BP08,Day14,"{'2', '3', '4', '1'}",False,9
14,BP08,Day15,"{'3', '2', '4', '1'}",False,10
15,BP08,Day16,"{'3', '2', '4', '1'}",False,11
16,BP08,Day17,"{'1', '5', '2', '3', '4'}",False,12
17,BP08,Day18,"{'1', '5', '2', '3', '4'}",False,13
18,BP08,Day19,"{'1', '5', '2', '3', '4'}",True,0
19,BP08,Day20,"{'1', '5', '2', '3', '4'}",False,1
20,BP08,Day21,"{'1', '5', '2', '3', '4'}",False,2
21,BP08,Day22,"{'1', '5', '2', '3', '4'}",False,3
22,BP08,Day23,"{'1', '5', '2', '3', '4'}",True,0
23,BP08,Day24,"{'1', '5', '2', '3', '4'}",False,1
24,BP08,Day25,"{'1', '5', '2', '3', '4'}",False,2
25,BP08,Day26,"{'1', '5', '2', '3', '4'}",True,0
26,BP08,Day27,"{'1', '5', '2', '3', '4'}",False,1
27,BP08,Day28,"{'1', '5', '2', '3', '4'}",False,2
28,BP08,Day29,"{'1', '5', '2', '3', '4'}",False,3
29,BP08,Day30,"{'1', '5', '2', '3', '4'}",False,4
30,BP08,Day31,"{'1', '5', '2', '3', '4'}",False,5
31,BP08,Day32,"{'1', '5', '2', '3', '4'}",False,6
32,BP08,Day33,"{'1', '5', '2', '3', '4'}",False,7
33,BP08,Day34,"{'2', '3', '1'}",False,8
34,BP09,Day1,"{'2', '1'}",True,0
35,BP09,Day2,"{'2', '1'}",False,1
36,BP09,Day3,"{'2', '3', '1'}",False,2
37,BP09,Day4,"{'2', '3', '1'}",False,3
38,BP09,Day5,"{'3', '2', '4', '1'}",False,4
39,BP09,Day6,"{'2', '3', '4', '1'}",False,5
40,BP09,Day7,"{'2', '3', '4', '1'}",False,6
41,BP09,Day8,"{'1', '5', '2', '3', '4'}",False,7
42,BP09,Day9,"{'1', '5', '2', '3', '4'}",False,8
43,BP09,Day10,"{'1', '5', '2', '3', '4'}",False,9
44,BP09,Day11,"{'1', '5', '2', '3', '4'}",False,10
45,BP09,Day12,"{'1', '5', '2', '3', '4'}",False,11
46,BP09,Day13,"{'1', '5', '2', '3', '4'}",False,12
47,BP09,Day14,"{'1', '5', '2', '3', '4'}",False,13
48,BP09,Day15,"{'1', '5', '2', '3', '4'}",False,14
49,BP09,Day16,"{'1', '5', '2', '3', '4'}",False,15
50,BP09,Day17,"{'1', '5', '2', '3', '4'}",False,16
51,BP09,Day18,"{'1', '5', '2', '3', '4'}",True,0
52,BP09,Day19,"{'1', '5', '2', '3', '4'}",True,0
53,BP09,Day20,"{'3', '4'}",False,1
54,BP09,Day21,"{'3', '4'}",True,0
55,BP09,Day22,"{'3', '4'}",False,1
56,BP07,Day11,"{'2', '3', '1'}",True,0
57,BP07,Day12,"{'3', '2', '4', '1'}",False,1
58,BP07,Day13,"{'3', '2', '4', '1'}",False,2
59,BP07,Day14,"{'3', '2', '4', '1'}",True,0
60,BP07,Day15,"{'1', '5', '2', '3', '4'}",False,1
61,BP07,Day16,"{'1', '5', '2', '3', '4'}",False,2
62,BP07,Day17,"{'1', '5', '2', '3', '4'}",False,3
63,BP07,Day18,"{'1', '5', '2', '3', '4'}",False,4
64,BP07,Day19,"{'1', '5', '2', '3', '4'}",False,5
65,BP07,Day20,"{'1', '5', '2', '3', '4'}",False,6
66,BP07,Day21,"{'1', '5', '2', '3', '4'}",False,7
67,BP07,Day22,"{'1', '5', '2', '3', '4'}",False,8
68,BP07,Day23,"{'1', '5', '2', '3', '4'}",False,9
69,BP07,Day24,"{'1', '5', '2', '3', '4'}",False,10
70,BP07,Day25,"{'1', '5', '2', '3', '4'}",False,11
71,BP07,Day26,"{'1', '5', '2', '3', '4'}",True,0
72,BP07,Day27,"{'1', '5', '2', '3', '4'}",False,1
73,BP07,Day28,"{'1', '5', '2', '3', '4'}",False,2
74,TH605,Day1,"{'2', '1'}",True,0
75,TH605,Day2,"{'2', '1'}",False,1
76,TH605,Day3,"{'2', '1'}",False,2
77,TH605,Day4,"{'2', '1'}",True,0
78,TH605,Day5,"{'2', '1'}",False,1
79,TH605,Day6,"{'3', '2', '1'}",False,2
80,TH605,Day7,"{'3', '2', '1'}",True,0
81,TH605,Day8,"{'3', '2', '1'}",False,1
82,TH605,Day9,"{'2', '3', '1'}",False,2
83,TH605,Day10,"{'2', '3', '4', '1'}",False,3
84,TH605,Day11,"{'3', '2', '4', '1'}",True,0
85,TH605,Day12,"{'2', '3', '4', '1'}",False,1
86,TH605,Day13,"{'3', '2', '4', '1'}",False,2
87,TH605,Day14,"{'2', '3', '4', '1'}",False,3
88,TH605,Day15,"{'2', '3', '4', '1'}",True,0
89,TH605,Day16,"{'2', '3', '4', '1'}",False,1
90,TH605,Day17,"{'3', '2', '4', '1'}",True,0
91,TH605,Day18,"{'3', '2', '4', '1'}",False,1
92,TH605,Day19,"{'3', '2', '4', '1'}",False,2
93,TH605,Day20,"{'3', '2', '4', '1'}",True,0
94,TH605,Day21,"{'3', '2', '4', '1'}",False,1
95,TH605,Day22,"{'2', '3', '4', '1'}",False,2
96,TH605,Day23,"{'2', '3', '4', '1'}",False,3
97,TH605,Day24,"{'2', '3', '4', '1'}",False,4
